game_session,installation_id,title,num_correct,num_incorrect,accuracy,accuracy_group
6bdf9623adc94d89,0006a69f,Mushroom Sorter (Assessment),1,0,1.0,3
77b8ee947eb84b4e,0006a69f,Bird Measurer (Assessment),0,11,0.0,0
901acc108f55a5a1,0006a69f,Mushroom Sorter (Assessment),1,0,1.0,3
9501794defd84e4d,0006a69f,Mushroom Sorter (Assessment),1,1,0.5,2
a9ef3ecb3d1acc6a,0006a69f,Bird Measurer (Assessment),1,0,1.0,3
197a373a77101924,0006c192,Cauldron Filler (Assessment),1,0,1.0,3
957406a905d59afd,0006c192,Bird Measurer (Assessment),1,1,0.5,2
b2297d292892745a,0006c192,Mushroom Sorter (Assessment),0,4,0.0,0
ae691ec5ad5652cf,00129856,Bird Measurer (Assessment),1,0,1.0,3
7b536271e99518f0,001d0ed0,Bird Measurer (Assessment),0,5,0.0,0
8fdd5d389d0e272e,001d0ed0,Chest Sorter (Assessment),0,1,0.0,0
9480b026e3e7d371,001d0ed0,Cart Balancer (Assessment),1,0,1.0,3
c046a858e7c8bf03,001d0ed0,Mushroom Sorter (Assessment),1,1,0.5,2
dc6bc0284039c9fb,001d0ed0,Mushroom Sorter (Assessment),1,0,1.0,3
619b9c069cf790ca,00225f67,Bird Measurer (Assessment),0,2,0.0,0
346d5f57cf40bac0,00279ac5,Chest Sorter (Assessment),0,11,0.0,0
03e73cfb40d8d204,002db7e3,Mushroom Sorter (Assessment),1,1,0.5,2
113a557b60770369,002db7e3,Cart Balancer (Assessment),1,0,1.0,3
1c48bdca76efc7b0,002db7e3,Mushroom Sorter (Assessment),1,0,1.0,3
470a1bd6b99152a7,002db7e3,Cauldron Filler (Assessment),1,0,1.0,3
5025f22d6e944533,002db7e3,Bird Measurer (Assessment),1,4,0.2,1
67f9274eb736ab3f,002db7e3,Chest Sorter (Assessment),0,5,0.0,0
8f50f2fd987cade4,002db7e3,Bird Measurer (Assessment),1,1,0.5,2
cace4c493ac347e3,002db7e3,Bird Measurer (Assessment),1,10,0.09090909090909093,1
f50104895c55045f,002db7e3,Chest Sorter (Assessment),0,7,0.0,0
0adc585fb4f48458,003372b0,Cart Balancer (Assessment),1,0,1.0,3
272cc78535e9add1,003372b0,Cauldron Filler (Assessment),1,0,1.0,3
28113cd58d865372,003372b0,Bird Measurer (Assessment),1,1,0.5,2
3beae5a17e0b26f6,003372b0,Cart Balancer (Assessment),1,0,1.0,3
4649b29840d5b0f1,003372b0,Chest Sorter (Assessment),0,4,0.0,0
631971b2efa19b8d,003372b0,Mushroom Sorter (Assessment),1,0,1.0,3
343206b33bfa7941,004c2091,Bird Measurer (Assessment),0,1,0.0,0
3a50778205e34531,004c2091,Cauldron Filler (Assessment),1,0,1.0,3
4e446ee715d1bd94,004c2091,Bird Measurer (Assessment),0,1,0.0,0
ae5de691ea2252f1,004c2091,Cauldron Filler (Assessment),1,0,1.0,3
1454d273262f61e3,00634433,Cauldron Filler (Assessment),1,0,1.0,3
440633fe3ef55b90,00634433,Cart Balancer (Assessment),1,0,1.0,3
8c2d5dff4635d020,00634433,Chest Sorter (Assessment),0,1,0.0,0
900f3ed7ba1a3e72,00667b88,Cart Balancer (Assessment),0,1,0.0,0
a01b01d1e22d0446,00667b88,Cart Balancer (Assessment),1,0,1.0,3
01d44d1b32c3da7f,00691033,Mushroom Sorter (Assessment),0,3,0.0,0
27cf0c9a24932c72,00691033,Cauldron Filler (Assessment),1,2,0.3333333333333333,1
57e99afbe299eee7,00691033,Bird Measurer (Assessment),0,7,0.0,0
6356ad12dfc4be2f,00691033,Mushroom Sorter (Assessment),0,6,0.0,0
9d2a83e6be787757,00691033,Bird Measurer (Assessment),1,2,0.3333333333333333,1
a4060f56e5b8b57b,00691033,Bird Measurer (Assessment),0,7,0.0,0
afbc42ed46d8d8b6,00691033,Chest Sorter (Assessment),0,4,0.0,0
d177c3ef04370586,00691033,Cauldron Filler (Assessment),1,0,1.0,3
f76ce167ea7e64ac,00691033,Bird Measurer (Assessment),0,8,0.0,0
13ef4c0f43016c21,00a0dbeb,Cart Balancer (Assessment),0,3,0.0,0
8d95ce85370a27f1,00a0dbeb,Cart Balancer (Assessment),0,6,0.0,0
9debd3d366d92441,00a0dbeb,Cart Balancer (Assessment),0,1,0.0,0
a77bfd165bda7f8f,00a0dbeb,Cart Balancer (Assessment),0,2,0.0,0
4adfc08b1da953b0,00a53963,Mushroom Sorter (Assessment),1,0,1.0,3
7cf1b76f9a705306,00ad158e,Cauldron Filler (Assessment),1,2,0.3333333333333333,1
6505823b46937a52,00b9d8e6,Cart Balancer (Assessment),1,1,0.5,2
9166fbf0ebef112b,00cef781,Cart Balancer (Assessment),1,0,1.0,3
13fb574a0788a342,00e17272,Cart Balancer (Assessment),1,0,1.0,3
6c8fab7964639f37,00e17272,Bird Measurer (Assessment),1,1,0.5,2
79b23df7134680d6,00e17272,Cart Balancer (Assessment),1,0,1.0,3
7c99edfbd81036e7,00e17272,Chest Sorter (Assessment),1,1,0.5,2
9444d34477d7f2c5,00e17272,Cauldron Filler (Assessment),1,0,1.0,3
a8c4aa084792d9bc,00e17272,Cauldron Filler (Assessment),1,0,1.0,3
a8f34c37b52dcf4e,00e17272,Cauldron Filler (Assessment),1,0,1.0,3
b1fa320f360a5df7,00e17272,Mushroom Sorter (Assessment),1,0,1.0,3
06e4408045163fdd,00e536bf,Bird Measurer (Assessment),1,2,0.3333333333333333,1
303c177193a14b1c,00e536bf,Cart Balancer (Assessment),1,0,1.0,3
5ffe7ca662764707,00e536bf,Chest Sorter (Assessment),0,5,0.0,0
6fdf341bb1535e56,00e536bf,Cauldron Filler (Assessment),1,1,0.5,2
dd06aeacbb593d36,00e536bf,Chest Sorter (Assessment),1,0,1.0,3
e79a6fc420a2e2ae,00e536bf,Cart Balancer (Assessment),1,0,1.0,3
f1907f95d0e87916,00e536bf,Chest Sorter (Assessment),1,0,1.0,3
f39c4fd3c2f3d7d9,00e536bf,Cauldron Filler (Assessment),1,0,1.0,3
2eafd59d5ecf1b1e,00fa8681,Bird Measurer (Assessment),1,2,0.3333333333333333,1
98823b83956d6274,00fa8681,Chest Sorter (Assessment),0,1,0.0,0
b4b25b2c4f2b6ada,00fa8681,Mushroom Sorter (Assessment),1,0,1.0,3
22e0b69bad7a475c,00fc65b6,Cauldron Filler (Assessment),1,1,0.5,2
2c8372907b2e7a29,00fc65b6,Chest Sorter (Assessment),1,0,1.0,3
2f2edeb4ee1a6b96,00fc65b6,Cauldron Filler (Assessment),1,0,1.0,3
3cb1a0a7c6e5c4cb,00fc65b6,Cart Balancer (Assessment),1,0,1.0,3
469b3ff25bf7824f,00fc65b6,Bird Measurer (Assessment),1,0,1.0,3
71190e29b29e7488,00fc65b6,Mushroom Sorter (Assessment),1,0,1.0,3
7e02851957b1e0df,00fc65b6,Chest Sorter (Assessment),1,10,0.09090909090909093,1
d4913074c3614940,00fc65b6,Cart Balancer (Assessment),1,0,1.0,3
ea2738fba4f2c341,00fc65b6,Cart Balancer (Assessment),1,2,0.3333333333333333,1
49f65396b901366f,010bc1d5,Bird Measurer (Assessment),0,2,0.0,0
77c0ffc58b95748a,010bc1d5,Mushroom Sorter (Assessment),1,0,1.0,3
f5fea737ce83acc6,01120f12,Bird Measurer (Assessment),0,2,0.0,0
65f9c6e01c6865d3,0153c957,Bird Measurer (Assessment),0,6,0.0,0
200bd213d65096c3,0155dd86,Cart Balancer (Assessment),1,0,1.0,3
5fd64cfdd2568004,0155dd86,Chest Sorter (Assessment),0,2,0.0,0
975a971cc0127015,0155dd86,Cart Balancer (Assessment),1,0,1.0,3
a7d5f59c4f1ffbe2,0155dd86,Chest Sorter (Assessment),0,3,0.0,0
dcf813428d8da7e7,0155dd86,Chest Sorter (Assessment),0,4,0.0,0
032880a4dca1fb6b,015776b4,Cart Balancer (Assessment),1,0,1.0,3
48e17f187b5cb6ec,015776b4,Chest Sorter (Assessment),0,7,0.0,0
ab3a4c946cc5d51d,015776b4,Mushroom Sorter (Assessment),0,1,0.0,0
d13556881baa2662,015776b4,Cart Balancer (Assessment),1,0,1.0,3
e08d94488267c4fb,015776b4,Chest Sorter (Assessment),0,3,0.0,0
0d641058b46d3689,01582211,Cart Balancer (Assessment),1,0,1.0,3
